Tibetan,English,Author
ང་ནམ་ཡང་འཛིན་གྲྭར་གཡོལ་མྱོང་མེད། དགོངས་དག ཁྱེད་ཚོ་གང་རུང་ཞིག་འཛིན་གྲྭར་གཡོལ་གྱི་ཡོད་མེད་མི་ཤེས།,I never cut class.,ted2019
གལ་སྲིད། ཁྱེད་ཚོས་ང་དེ་རིང་འདིར་ལངས་ཐུབ་པའི་རྒྱུ་མཚན་ཤེས་འདོད་ཡོད་ན། དེ་ནི་ཤེས་ཡོན་ལ་བསྟེན་ནས་བྱུང་བ་རེད།,"If you want to know the reason why I'm standing here, it's because of education.",ted2019
འདི་སྒྲུང་གཏམ<ལོ་ལི་ཐཱ>(Lolita)ཡི་ ཚིག་རྐང་ཐོག་མ་རེད།,"And this is an opening phrase from the novel ""Lolita.""",ted2019
འོན་ཀྱང་། འདོ་ལོའི་ཕྱི་ཟླ་གཉིས་པ་དང་བཞི་བའི་བར་ ཝེ་པོ་ནི་དཀྲོག་གཏམ་བཀྲམ་སའི་ཁྲོམ་ས་ཆེན་པོ་ཞིག་ཆགས་པ་རེད།,"But from February to April this year, Weibo really became a marketplace of rumors.",ted2019
གཏམ་རྒྱུད་ནི་གལ་ཆེན་རེད།,Stories matter.,ted2019
ཁྱེད་ཀྱིས་πལས“ཆེ”བའི་གྲངས་ཀ་ཞིག་རྙེད་མི་སྲིད། འདི་གྲངས་རིག་གི་རྒྱུན་གྲངས་ཤིག་རེད།,"Well you can't get much bigger than Pi, the mathematical constant.",ted2019
C : རང་གི་འཆར་གཞི་གང་ཡིན། MITལ་སྡོད་དམ་་་,CA: What are your own plans?,ted2019
ཡང་མིན་ན་རྒྱ་གར་ལ་ཡིན།མ་འོངས་ལ་དུས་ཚོད་ཇི་ལྟར་བགོ་བསྒྲིག་གམ།,How are you going to split your time going forward?,ted2019
ཁོང་ཚོས་བུད་མེད་དང་སྐྱེས་པའི་བར་གྱི་གུས་ཞབས་འོས་བའི་འབྲེལ་བ་ ནི་གང་འདྲ་ཡིན་མིན་བསླབས་བྱུང་།,They taught me about what a respectful relationship should look like between men and women.,ted2019
ཡང་སྙིང་གནས་ཚུལ་ག་རེ་བྱུང་བ་རེད། གཟིགས་དང་། འཛམ་གླིང་ཡུལ་གྲུ་ཀུན་གྱི་གྲོང་ཚོའི་ནང་མི་གཅིག་ཀྱང་མཐོང་ས་མེད་འདུག,So what's really going on?,ted2019
ད་དུང་ཁྲ་སྨྱུག་དེ་ཚོར་གཟིཊ་དང་་་ དེ་ཚོ་ནི་ང་ཚོས་སྔོན་དུས་སུ་བཀོལ་སྤྱོད་བྱས་ཀྱི་ཡོད།,"And, actually, if you see, there are some color markers that in the beginning version we are using with it.",ted2019
འོན་ཀྱང་། ཁྱེད་ཀྱིས་པེ་ཅིང་གི་དམག་མིའི་གྱེན་ལངས་སྐོར་གྱི་དཀྲོག་གཏམ་སྤེལ་ན། ཁྱེད་རང་འཛིན་བཟུང་བྱེད་ཁོ་ཐག་རེད།,"But if you dare to retweet or mention any fake coup about Beijing, you definitely will be arrested.",ted2019
ཁོང་ཚོས་རྗེས་སུ་འབྲངས་བའི་ སྨན་པ་དང་། སྨན་ཞབས་མ། སྒྱུ་རྩལ་བ་དང་། རྩོམ་པ་པོ་ས་ཡ་མང་པོར་ སྒོ་མོ་གསར་བ་གང་མང་བྱས་ཡོད།,"And they opened many new doors for millions of female doctors and nurses and artists and authors, all of whom have followed them.",ted2019
ངས་གོང་ཞུས་ཀྱི་ལྟ་བ་དེ་འོས་བསྡུའི་གོང་གི་རྒྱབ་སྐྱོར་ཡོང་ཆེད་སྐབས་ཀྱི་ལས་འགུལ་ཐོག་མཐའ་བར་གསུམ་དུ་བཤད་པ་ཡིན།,And I talked about this throughout the entire campaign.,ted2019
ཁྱེད་ཚོས་ཡིད་ཆེས་ཀྱི་འདུག་གམ།,Can you believe that?,ted2019
དེ་ལས་དགའ་འོས་པ་ཞིག་ནི་་་ ངས་བྱེད་ནུས་འདི་དེ་བས་འགུལ་རྣམ་རང་བཞིན་ལྡན་པ་ཞིག་ཏུ་བཟོ་འདོད།,"So, more interestingly, I'm interested in how we can take that in a more dynamic way.",ted2019
ང་ཁྱོད་ལ་དགའ,I am boy,Tenzin sherab
འདི་ནི་ཞི་མི་དང་ཙི་ཙིའི་རྩེད་མོ་ཡི་གནས་ཚུལ་གསར་ཤོས་ཏེ་ཡིན།,"So that's the update about this game, cat-and-mouse.",ted2019
ནེ་ཇི་རི་ཡའི་མི་མང་གིས་རྩོམ་རིག་མི་ཀློག་པ་ནི་ཡོངས་གྲགས་ཀྱི་ཤེས་སྲོལ་ཞིག་རེད།,"Now, the conventional wisdom was that Nigerians don't read literature.",ted2019
ཁོ་ལ་དྲན་པ་གསལ་པོ་ཞིག་ཡོད།,He has the most impeccable memory.,ted2019
ད་ཚར་པ་རེད། ལྷམ་ཐིག་དམ་པོར་སྒྲོག་ཐབས་རེད།,There it is: the strong form of the shoe knot.,ted2019
འདི911རྗེས་ཀྱི་བདུན་ཕྲག་འགའ་འགོར་རྗེས་བླངས་པ་ཡིན། སྐབས་དེར་ངས911ཉིན་གྱི་དོན་རྐྱེན་གསལ་བཤད་བྱ་རྩིས་བྱས་ཏེ། ལོ་ལྔ་སོན་པའི་ཕྲུ་གུ་ལ་གོ་བ་ཆགས་ཐབས་ཤིག་བྱས་པ་ཡིན།,"This one was taken just weeks after 9/11, and I found myself trying to explain what had happened that day in ways a five-year-old could understand.",ted2019
ངའི་ཨ་ཕ་གཙུག་ལག་སློབ་དཔོན་ཞིག་དང་།,My father was a professor.,ted2019
དཔེར་ན། མངོན་འདོད་གླེང་སའི་བརྒྱུད་ལམ་མེད་པའི་མི་མང་ ཚོར་རང་གི་མངོན་འདོད་གཞན་གྱིས་གོ་ཐུབ་པའི་བརྒྱུད་ལམ་ཞིག་བསྐྲུན་ཡོད།,"For example, they give the voiceless people a channel to make your voice heard.",ted2019
PM: ངས་ད་ལྟ་ལག་རྩལ་འདི་ཁྱབ་དེ་བས་ཆེ་བའི་ངང་བེད་སྤྱོད་བྱེད་པར་འབད་པ་བྱེད་ཀྱིན་ཡོད་པ་ནི་་་ ཚང་མས་རང་ཉིད་ཀྱི་༼ དབང་པོ་ཨང་དྲུག་པ༽ཡི་སྒྲིག་ཆས་གསར་བཟོ་ཐུབ་པིའ་ཆེད་དུ་ཡིན། མཁྲེཊ་ཆས་ནི་དོན་དངོས་ཐོག་བཟོ་ཁག་པོ་མེད། སོ་སོས་བཟོས་ཀྱང་ལས་སླ་པོ་རེད།,"PM: I'm trying to make this more available to people so that anyone can develop their own SixthSense device, because the hardware is actually not that hard to manufacture or hard to make your own.",ted2019
ཁྱོད་ཚོའི་ནང་གི་ཁེར་རྐྱང་རིང་ལུགས་ཞེས་པ་འདི་གསལ་བོར་མི་ཤེས་པ་ཚོར་མཚོན་ན་་ དེ་ནི་ཀླད་པའི་ཤེས་བ་རྒྱུན་ལྡན་མ་ཡིན་པར་སྤྱི་ཚོགས་འབྲེལ་འདྲིས་དང་་་ སློབ་སྦྱོང། ལུས་པོའི་ནུས་པ་སོགས་ལ་གནོད་པའི་དབང་རྩའི་ནད་ཅིག་རེད།,"Now, for you who may be less familiar with the term ""autism,"" it's a complex brain disorder that affects social communication, learning and sometimes physical skills.",ted2019
རང་བྲིས་ཡིན་ན་ཡིན་གཅིག་ཞིབ་ཆ་ཡོད་དགོས་པར་བརྟེན།,It also has to be sufficiently detailed.,ted2019
གོང་དུ་རིག་པ་ལྟར། རང་བྲིས་ནི་ངེས་པར་ཐད་ཀའམ3/4གྱི་ཟུར་བྲིས་ཡིན་དགོས་པས།,"Well, for that they have to be done as we just saw, en face or three-quarters.",ted2019
ནང་དོན་འདི་རྒྱ་ཡིག་གི་ནང་ཏུ་ཌིས་ཌིར་ཐོག་འགོད་ཐེངས་གཅིག་ནི་ དབྱིན་ཡིག་གི་འགོད་ཐེངས་གསུམ་དང་ཕྱེད་ཀ་ཙམ་རེད།,"One, you can see exactly one Chinese tweet is equal to 3.5 English tweets.",ted2019
སྐད་ཆ་ནི་དུས་དང་བསྟུན་ནས་འགྱུར་ཅིང་། བྱེད་ནུས་ཤིན་ཏུ་ཆེན་པོ་ཡོད།,"Language changes over time, and it's a powerful force.",ted2019
ངའི་ཤག་རོགས་ཀྱིས་སེམས་སུ་ཨ་ཧྥི་རི་ཁའི་སྐོར་གྱི་,"Her default position toward me, as an African, was a kind of patronizing, well-meaning pity.",ted2019
ཇི་ལྟར་ཞེ་ན། ལས་སླ་བོ་རེད།,How to make it?,ted2019
གསར་གཏོད་འདི་ངོ་མ་བསམ་ཡུལ་ལས་འདས་པ་ཞིག་འདུག,"This is incredible, really.",ted2019
"ལྷག་པར་དུ། འདི་ག་ཝ་ཤིང་ཊོན་དུ་ཁྱེད་ཀྱིས་ཞོགས་ཟས་བཟའ་བའི་དུས་ཚོད་བགོས་ཚེ། ཁྱེད་ནས་""ཆུ་ཚོད་༨་པ་གང་འདྲ་འདུག""ཅེས་དྲིས་ན།","Especially here in Washington, if you try to make a breakfast date, and you say, ""How about eight o'clock?""",ted2019
མིན་ཟེར་མཁན་མི་བྱུང་། ལས་ཡག་སྟེ་པར་ཆས་ཁྱེར་ནས་འབྲོ་མཁན་ཡང་བྱུང་མ་སོང་།,"No one's ever refused, and luckily no one's ever run off with our camera.",ted2019
ཁོ་མོས་ངས་དེ་འདྲའི་དབྱིན་སྐད་ལེགས་པོ་ཞིག་གང་ནས་སྦྱངས་མིན་དྲིས། ངས་དབྱིན་ཡིག་ནི་ནེའི་ཇེ་རི་ཡའི་གཞུང་སྤྱོད་ཡི་གེ་རེད་ཅེས་ལན་བཏབ་དུས་ ཁོ་མོ་མགོ་འཐོམས་སོང་།,"She asked where I had learned to speak English so well, and was confused when I said that Nigeria happened to have English as its official language.",ted2019
དེར་བརྟེན། དྲ་དམངས་ས་ཡ་༣༠༠་ཅན་གྱི་ཝེ་པོ་ནི་ ཆབ་སྲིད་འཐབ་རྩོད་ཀྱི་ལག་ཆ་སྟབས་བདེ་ཞིག་ཆགས་པ་རེད།,"So Weibo, the 300 million public sphere, became a very good, convenient tool for a political fight.",ted2019
མེ་འཁོར་བརྡབ་སྐྱོན་གྱི་གནད་དོན་ཐད་ནས། ཅིའི་ཕྱིར་ཉིན་ལྔའི་ནང་སྐྱོན་བརྗོད་གྱི་གཏམ་ས་ཡ་༡༠་ཙམ་སྤེལ་བ་དེ་ཁོ་ན་མིན་པར་ ཅིའི་ཕྱིར་རྒྱ་ནག་དབུས་གཞུང་གིས་ དྲ་ཐོག་ཏུ་ཉིན་ལྔའི་རིང་ལ་སྨྲ་བརྗོད་རང་དབང་སྤྲད་པ་དེ་རེད།,"The story about the train crash, maybe the question is not about why 10 million criticisms in five days, but why the Chinese central government allowed the five days of freedom of speech online.",ted2019
ཁྱེད་རང་གུང་སེང་ལ་ག་རེ་བྱེད་པ་ཡིན།,What did you do over the weekend?,tatoeba
འདི་ལྟར། ང་ཚོས་མ་འོངས་པར་ ག་དུས་ཡིན་ཡང་། གང་དུ་ཡིན་ཡང་། ཞེད་སྣང་མེད་པར་ དྲ་རྒྱ་ལོངས་སྤྱོད་ཐུབ་པའི་ཙི་ཙིའི་རྨི་ལམ་དེ་མངོན་འགྱུར་བྱེད་འཇུག་གི་ཡིན།,"Only in this way, in the future, we will achieve the dreams of the mouse: that we can tweet anytime, anywhere, without fear.",ted2019
མི་ཚང་མས་འདིའི་སྐོར་ལ་ང་ལ་རྟག་པར་སྐད་ཆ་འདྲི་ཀྱི་འདུག།,Everyone always asks me that.,Tatoeba-2020.08
དེ་དག་ནི་བསམ་ཡུལ་ལས་འདས་པ་ཞིག་མ་རེད་དམ།,Don't they sound incredible?,ted2019
ད་དུང་། རྒྱ་ནག་གི་སྤྱི་ཚོགས་འབྲེལ་མཐུད་དྲ་རྒྱས་ དངོས་གནས་མི་མང་གི་ལྟ་སྟངས་དང་འཚོ་བ་གཉིས་ལ་འགྱུར་བ་ཐེབས་བཅུག་ཡོད།,"But also, Chinese social media is really changing Chinese mindsets and Chinese life.",ted2019
ང་ནི་ནེའི་་ཇེ་རི་ཡ་ཡི་འབྱོར་འབྲིང་ཁྱིམ་ཚང་ཞིག་ནས་ཡོང་བ་ཡིན།,"I come from a conventional, middle-class Nigerian family.",ted2019
ང་རང་ནི་ལག་རྩལ་འདི་ཚོ་མང་ཚོཊ་ཁྲོད་ཁྱབ་གདལ་གཏང་རྒྱུར་རེ་དད་ཆེ་བ་ལས་་་ ཚོད་ལྟ་ཁང་ནང་ཉར་འཇོག་བྱེད་པར་མ་འདོད།,So I'm excited about how I can bring the technology to the masses rather than just keeping that technology in the lab environment.,ted2019
བྱི་ལ་དོམ་ཆེན་རྒྱ་ནག་ལ་འབའ་ཞིག་ཡོད་རེད།,Giant pandas live only in China.,tatoeba
ང་འཛིན་གྲྭར་རྩ་བ་ནས་གཡོལ་མྱོང་མེད།,I never did it.,ted2019
"ངས་རང་ཉིད་སྒེར་གྱི་ལོ་རྒྱུས་ཁག་ཅིག་ཁྱེད་ལ་བཤད་འདོད་བྱུང་། དེ་ནི་ངས་""ལོ་རྒྱུས་ངོས་གཅིག་མའི་ཉན་ཁ་""ཅེས་འབོད་འདོད་ཡོད་པའི་སྐོར་ཡིན།","And I would like to tell you a few personal stories about what I like to call ""the danger of the single story.""",ted2019
གནད་ཚིག་གཏག་ནས་ཅ་ལག་འཚོལ་མི་དགོས་པར་་་ ཅ་ལག་འདི་ས་བཀྲའི་སྒང་ལ་བཞག་ན་འགྲིག,"Rather than typing a keyword to find something, I put my objects on top of it.",ted2019
ཁོ་ལ་ངག་མེད། ཡིན་ནའང་ཁོ་རང་གི་ཐབས་ལ་བརྟེན་ནས་་་་ ཁ་མཁས་པ་ཚོ་ལས་ཀྱང་འབྲེལ་འདྲིས་བྱེད་མཁས་པོ་ཡོད།,"He's speechless, but he communicates joy in a way that some of the best orators cannot.",ted2019
ཁྱེད་ཀྱིས་ཤེས་གསལ།མི་ཆ་མེད་ཅིག་ལ་པར་ཆས་སྤྲོད་རྒྱུ་དེ་་ དངོས་གནས་སྤྱིར་བཏང་རེད་ལ་ཡང་རྒྱུན་ལྡན་ཞིག་མ་རེད།,"You know, it's remarkable how universal the gesture is of handing your camera to a total stranger.",ted2019
ཡང་ན་ཨ་སྒོར་ ༢ ཀྱི་ཙི་གུའི་ལག་བརྡའི་མ་ལག་ནི་་་ དེ་སྔོན་སྤྱིར་བཏང་ཨ་སྒོར་ ༥༠༠༠ ཙམ་ཡིན་གྱི་རེད།,"Or maybe even the $2 mouse gesture system at that time was costing around $5,000?",ted2019
བཀྲ་ཤིས་བདེ་ལེགས་གྲོགས་པོ།,Hello my friend!,Ngawang Trinley
གང་ལགས་ཞེ་ན། ཁོང་ནི་གཡོན་ཐལ་ཆེ་བའི་དཔོན་རིགས་ཤིག་རེད། དབུས་གཞུང་གིས་ཁོང་ནི་དེ་སྔོན་ཧ་ཅང་མི་ཡག་པོ་ཞིག་དང་། ད་ལྟ་མི་ངན་གཏེ་བོ་ཞིག་ཡིན་པའི་རྒྱུ་མཚན་མི་མང་ལ་ཤེས་འཇུག་འདོད་པ་རེད།,"Because he was a very popular Leftist leader, so the central government wanted to purge him, and he was very cute, he convinced all the Chinese people, why he is so bad.",ted2019
འདིར་རྐྱལ་རྒྱབ་ཆོག་གི་མ་རེད།,Swimming is prohibited here.,tatoeba
ལོ་རྒྱུས་ཀྱི་ར་སྤྲོད་བྱས་དོན་ལྟར་ན། ཁྱེད་རང་འབྱོར་མེད་ཚོའི་བསྡོད་ཁང་དང་། ཡང་ན་ གྲོང་ཕྱིར་ཡོད་པའི་གཞིས་ཀ་གང་ནས་ཡོང་ཀྱང་།,History proves that it doesn't matter whether you come from a council estate or a country estate.,ted2019
རྒན་ཚད་ལོངས་པ་འབའ་ཞིག།,Adults only.,Tatoeba-2020.08
གལ་ཏེ། ངའི་ཤག་རོགས་ཀྱིས་ངའི་དཔེ་དེབ་ཀྱི་ནེ་ཇི་རིའི་པར་འགྲེམས་བྱེད་པོ་མོག་ཏ་བྷ་ཀ་རེ་སྐོར་ཤེས་ཡོད་རྒྱུ་ན། ཁོང་ནི་མི་བསྔགས་འོས་བ་ཞིག་སྟེ། རང་གི་རྨི་ལམ་མངོན་འགྱུར་ཡོང་ཆེད་ དངུལ་ཁང་གི་ལས་ཀ་བཞག་ཏེ་པར་སྐྲུན་ཁང་ཞིག་བཙུགས་པ་རེད།,"What if my roommate knew about my Nigerian publisher, Muhtar Bakare, a remarkable man who left his job in a bank to follow his dream and start a publishing house?",ted2019
ལྟོས་དང་། ང་ཚོས་གྲངས་འབོར་མཚུངས་པ་ཞིག་ལ་བལྟ་སྟངས་འདྲ་ཡི་མི་འདུག གཡུལ་འཁྲུག་རྒྱུན་བསྐྱངས་པ་དང་དུས་མཚུངས་སུ་ དམག་མི་གཡུལ་ལ་ཞུགས་པ་དང་ཤི་རྨས་ཐེབས་གྲངས་དེ་ དལ་འགྲོས་ཀྱིས་ཇེ་མཐོར་འགྲོ་བ་མིན་པར། དཔེར་ན། 10000ནས11000དང་། དེ་ནས12000ལྟར་འགྲོ་བ་མིན་པར།མྱུར་འགྲོས་ཀྱིས10000ནས20000དང་། དེ་ནས་ཡང་40000ལྟར་སྟོད་པར་བྱེད།,"So you see that because of the way we perceive quantities, as the war drags on, the number of soldiers committed to it and the casualties will increase not linearly -- like 10,000, 11,000, 12,000 -- but exponentially -- 10,000, later 20,000, later 40,000.",ted2019
ངས་ཉིན་དང་པོར་རྒོ་ཏ་ལ་ཧ་རར་ཡར་མར་འཁོར་ནས་མི་རྣམས་ལས་ཀར་འགྲོ་བ་དང་། ཁྲོམ་གཞུང་དུ་བག་ལེབ་སྒྲིལ་བ། ཐ་མག་འཐུང་བ། གད་མོ་དགོད་པ་སོགས་ལ་བལྟས།,"I remember walking around on my first day in Guadalajara, watching the people going to work, rolling up tortillas in the marketplace, smoking, laughing.",ted2019
ཡིན་ནའང་ཁོ་ཁོང་ཁྲོ་ལངས་མི་སྲིད་ལ། བློ་ཕམ་རྒྱུ་ཡང་མེད། ནམ་ཡིན་ཡང་གསོན་ཤུགས་ཀྱིས་ཁེངས་བསྡད་ཡོད། འདི་ནི་ངོ་མ་གཞན་ལས་འཕགས་པ་ཞིག་རེད། ཁོས་མཐོང་བའི་འཇིག་རྟེན་ནི་ཉེས་བ་དང་བྲལ་ཞིང་ལྷད་མེད་པ་ཞིག་ཡིན་ཏེ། ཕྱོགས་ལྷུང་མེད་ལ།མི་གཅིག་གིས་ཀྱང་མི་རྫུན་མི་ལབ།,"Yet beyond the tantrums and the frustration and the never-ending hyperactivity was something really unique: a pure and innocent nature, a boy who saw the world without prejudice, a human who had never lied.",ted2019
འུ་ཅག་གིས་ཡང་བསྐྱར་ཅིག་བྱེད། སྔོན་མ་ནང་བཞིན་ལག་གཡས་འོག་ནས་ཡོང་སྟེ་ དཀྲིས་བརྒྱབ་ནས་མདུད་པ་ཡིན་ན། འདི་ནི་སྒྲོག་སྟངས་དམ་པོ་དེའི་རིགས་ཡིན།,"If we start over and simply go the other direction around the bow, we get this, the strong form of the knot.",ted2019
འདི་དག་ནི་ངས་རང་ཉིད་ཀྱི་ཁྱོ་གར་ ཚང་དགོས་སྙམ་པའི་ཡོན་ཏན་དག་ཀྱང་གཅིག་འདྲ་རེད། ཁོང་ནི་སྦབྷ་རག་ཨོ་བྷ་མ་རེད།,"And these were the same qualities that I looked for in my own husband, Barack Obama.",ted2019
འོན་ཀྱང་། རྒྱལ་སྤྱིའི་དྲ་རྒྱ་ཞིབ་བཤེར་གྱི་ཐབས་ལམ་དེ་གཉིས་ཀྱིས་ རྒྱ་ནག་གི་སྤྱི་ཚོགས་འབྲེལ་མཐུད་དྲ་རྒྱ་དེ་མི་མང་གི་གླེང་སྟེགས་ཤིག་དང་། བསམ་འཆར་བརྒྱུད་ལམ། དཔོན་རིགས་ཚོའི་འཇིགས་སྣང་བྱེད་ཡུལ་ཆགས་པ་དེ་འགོག་ཐུབ་མེད།,"But those two very smart international censorship policies didn't prevent Chinese social media [from] becoming a really public sphere, a pathway of public opinion and the nightmare of Chinese officials.",ted2019
དཔེར་ན། རྒྱ་ནག་སྲིད་འཛིན་ཧོས་ཅིན་ཐོ་ཡི་མིང་དང་། ཁྲོང་ཆིན་གྲོང་ཁྱེར་གྱི་མིང་འགོད་མི་ཐུབ། ཉེ་ཆར་བར་དུ་ཁྱེད་ཀྱིས་མཐོ་རིམ་དཔོན་རིགས་ཚོས་རུས་མིང་འཚོལ་མི་ཐུབ།,"For example, you can't post the name of the president, Hu Jintao, and also you can't post the city of Chongqing, the name, and until recently, you can't search the surname of top leaders.",ted2019
དེར་མིང་ཞིག་བཏགས་པ་ནི་ཝེ་པོ་(Weibo)རེད།,"It even has its own name, with Weibo.",ted2019
